term,id,span,weight,reciprocal,w,begin,end
x-band,49623,2,4.4482,10822.333333333334,4.4482,2012,2013,
years-old,49682,2,5.8229,8854.636363636364,5.8229,2004,2005,
2002-elsevier,497,2,4.6469,13914.42857142857,4.6469,2002,2003,
zipfs-law,49775,2,11.7092,1546.047619047619,11.7092,2011,2012,
2002-elsevier-science,498,2,4.6469,13914.42857142857,4.6469,2002,2003,
benthic-macroinvertebrates,4989,3,3.2276,10822.333333333334,3.2276,2011,2013,
2002-elsevier-science-ltd,500,2,3.3192,19480.2,3.3192,2002,2003,
2003-elsevier,503,3,6.3922,9740.1,6.3922,2003,2005,
big-data,5104,6,4.6529,4638.142857142857,4.6529,2014,
2005-elsevier,514,2,9.1427,6957.214285714285,9.1427,2005,2006,
2005-elsevier-ltd,517,2,5.2242,12175.125,5.2242,2005,2006,
biological-condition,5172,4,3.4218,13914.42857142857,3.4218,2009,2012,
biotic-integrity,5217,6,3.8244,10822.333333333334,3.8244,2005,2010,
2006-elsevier,525,3,7.9896,7492.384615384615,7.9896,2006,2008,
2006-elsevier-b,526,2,4.5509,13914.42857142857,4.5509,2006,2007,
2006-elsevier-ltd,527,2,3.1758,19480.2,3.1758,2007,2008,
blood-pressure,5312,2,3.1362,12175.125,3.1362,2015,2016,
2007-elsevier,532,3,5.8966,9740.1,5.8966,2007,2009,
2007-elsevier-b,533,2,3.811,16233.5,3.811,2007,2008,
boundary-layer,5392,3,4.9589,1650.864406779661,4.9589,2000,2002,
2008-elsevier,540,3,7.9042,6957.214285714285,7.9042,2008,2010,
2008-elsevier-b,541,3,3.3873,16233.5,3.3873,2008,2010,
2008-elsevier-ltd,542,2,4.2846,13914.42857142857,4.2846,2008,2009,
2009-elsevier,552,2,9.6026,6087.5625,9.6026,2009,2010,
2009-elsevier-b,553,2,4.801,12175.125,4.801,2009,2010,
building-stock,5568,4,3.4874,10822.333333333334,3.4874,2016,
2010-elsevier,561,2,6.4577,8854.636363636364,6.4577,2010,2011,
2010-elsevier-ltd,563,2,3.5223,16233.5,3.5223,2010,2011,
burning-structure,5642,2,4.2846,13914.42857142857,4.2846,2008,2009,
burning-structures,5644,2,3.6725,16233.5,3.6725,2008,2009,
c-storage,5712,4,3.3599,9740.1,3.3599,2013,2016,
2011-elsevier,573,2,15.7133,3607.4444444444443,15.7133,2011,2012,
2011-elsevier-b,574,2,8.1469,6957.214285714285,8.1469,2011,2012,
2011-elsevier-ltd,576,2,5.819,9740.1,5.819,2011,2012,
2012-elsevier,586,2,10.2836,5411.166666666667,10.2836,2012,2013,
capable-of,5865,7,3.7226,3607.4444444444443,3.7226,2001,2007,
2012-elsevier-b,587,2,5.1414,10822.333333333334,5.1414,2012,2013,
2012-elsevier-ltd,588,2,3.9988,13914.42857142857,3.9988,2012,2013,
capacity-of,5885,3,3.3047,3746.1923076923076,3.3047,2013,2015,
2013-elsevier,603,2,13.2135,4058.375,13.2135,2013,2014,
care-and,6033,6,3.3144,3607.4444444444443,3.3144,2007,2012,
2013-elsevier-b,604,2,3.8534,13914.42857142857,3.8534,2013,2014,
2013-elsevier-ltd,606,2,6.6061,8116.75,6.6061,2013,2014,
care-in,6061,6,3.3891,3043.78125,3.3891,2007,2012,
care-seeking,6095,2,3.9218,9740.1,3.9218,2009,2010,
carried-out,6138,7,3.2298,1521.890625,3.2298,2004,2010,
2014-elsevier,614,2,16.0064,3141.967741935484,16.0064,2014,2015,
carried-out-in,6144,4,3.6834,6493.4,3.6834,2006,2009,
2014-elsevier-b,615,2,7.2278,6957.214285714285,7.2278,2014,2015,
2014-elsevier-ltd,618,2,6.7115,7492.384615384615,6.7115,2014,2015,
2015-elsevier,632,2,14.1481,3141.967741935484,14.1481,2015,2016,
2015-elsevier-b,633,2,4.3081,10822.333333333334,4.3081,2015,2016,
2015-elsevier-ltd,636,2,6.0085,6957.214285714285,6.0085,2015,2016,
central-place,6435,2,6.5636,4427.318181818182,6.5636,2011,2012,
2016-elsevier,646,4,16.7256,2705.5833333333335,16.7256,2016,
2016-elsevier-b,647,4,4.6451,9740.1,4.6451,2016,
2016-elsevier-ltd,650,4,9.2909,4870.05,9.2909,2016,
2016-the,655,4,3.716,12175.125,3.716,2016,
2016-the-authors,656,4,3.2515,13914.42857142857,3.2515,2016,
change-detection,6587,7,3.6601,10822.333333333334,3.6601,2004,2010,
change-impact-on,6595,3,3.7907,13914.42857142857,3.7907,2009,2011,
changes-in,6650,5,9.4082,710.956204379562,9.4082,2007,2011,
characteristics-in,6759,6,3.5565,6493.4,3.5565,2003,2008,
child-health,6869,2,4.25,4427.318181818182,4.25,2012,2013,
child-transmission,6885,4,3.4304,6493.4,3.4304,2008,2011,
chinese-rural,7008,2,4.13,12175.125,4.13,2014,2015,
chinese-rural-to,7009,2,4.13,12175.125,4.13,2014,2015,
chinese-rural-to-urban,7010,2,4.13,12175.125,4.13,2014,2015,
cities-with,7281,4,3.7882,2563.184210526316,3.7882,2016,
3-and,731,4,3.3191,4234.826086956522,3.3191,2008,2011,
city-size-distributions,7423,4,3.2432,6087.5625,3.2432,2008,2011,
city-systems,7445,2,3.8793,8116.75,3.8793,2008,2009,
climate-change,7575,2,8.7521,910.2897196261682,8.7521,2010,2011,
climate-change-impact,7582,3,3.7907,13914.42857142857,3.7907,2009,2011,
climate-change-impact-on,7583,3,3.2491,16233.5,3.2491,2009,2011,
close-to,7694,4,3.593,2319.0714285714284,3.593,2010,2013,
co2-emissions,7816,4,9.3573,3358.655172413793,9.3573,2012,2015,
cobb-douglas,7871,2,3.7108,12175.125,3.7108,2013,2014,
composition-and,8598,7,3.4794,4427.318181818182,3.4794,2006,2012,
composition-of,8613,2,3.3045,2435.025,3.3045,2013,2014,
contribute-to,9490,6,4.1894,1837.754716981132,4.1894,1998,2003,
correlated-with,9732,2,5.334,1232.9240506329113,5.334,2004,2005,
correlation-analysis,9747,2,3.202,3896.04,3.202,2014,2015,
correlation-between-the,9769,8,4.2973,8854.636363636364,4.2973,2005,2012,
correlation-coefficients,9776,12,5.1688,4870.05,5.1688,1998,2009,
costs-of,9924,6,4.3841,2319.0714285714284,4.3841,2002,2007,
counselling-and-testing,9944,3,3.1053,8854.636363636364,3.1053,2010,2012,
